codigo_producto,unidad_medida
Los precios no incluyen IVA,
Vinilos de corte Oracal,
@@SUB@@Oracal 651 ( mas de 120 colores entre brillante y mate),
1373,
1374,
1375,
1376,
1377,
1378,
@@SUB@@Oracal 100 ( 8 colores brillante diponible + negro mate ),
1380,
1379,
1382,
1383,
@@SUB@@DPI ( 20 colores disponibles ),
1384,
1431,
@@SUB@@Oracal 8300 ( 15 colores disponibles ),
1386,
1387,
@@SUB@@Oracal 6510 ( 6 colores disponibles ),
1388,
1389,
@@SUB@@GRAPHICTAC ( 5 colores disponibles ),
2576,
@@SUB@@Oralite 5500 ( 6 colores disponibles ),
1390,
1391,
1394,
1395,
2582,
2583,
2584,
2572,
,
Vinilos decorativos/especiales,
@@SUB@@Cromados / Cepillados (oro y plata),
2629,
2630,
2631,
2632,
2633,
2634,
2635,
2636,
@@SUB@@Simil,
797,
798,
799,
800,
801,
802,
1133,
1140,
1367,
1432,
1433,
1134,
2596,
@@SUB@@Esmerilado DPI,
869,
868,
971,
@@SUB@@Esmerilado Mitocal,
1244,
1195,
1196,
1295,
1294,
594,
595,
592,
593,
@@SUB@@Esmerilado LG,
602,
603,
,
Papel posicionador,
@@SUB@@Adere,
1415,
@@SUB@@Mito 328,
2626,
2627,
2628,
@@SUB@@Poli-Tape,
683,
693,
,
Vinilos para impresion digital DPI,
@@SUB@@Blanco brillante base blanca,
1453,
1454,
1455,
1456,
@@SUB@@Blanco brillante base gris,
2568,
2569,
2570,
2571,
@@SUB@@Blanco mate base gris,
1457,
1458,
1459,
1460,
,
Vinilo para impresion digital Orajet 3640/3641,
@@SUB@@Transparente brillante,
48,
981,
49,
50,
@@SUB@@Blanco brillante base blanca,
51,
1420,
52,
53,
2614,
@@SUB@@Blanco brillante base gris,
54,
56,
57,
59,
,
Vinilo para impresion digital Vehicular Orajet 3651 / 3651RA,
63,
64,
61,
62,
,
Laminado vehicular Oraguard 215 para Orajet 3651/ 3651RA,
131,
132,
134,
934,
,
Vinilo para impresion digital Microperforado,
1250,
1361,
1362,
1363,
1364,
,
Vinilos para impresion digital (se fracciona por mt),
1319,
1307,
1394,
1395,
1406,
,
Laca ClearShield,
145,
148,
874,
146,
,
Polarizado / Film de seguridad / Car Wrapping,
1392,
1393,
1288,
1365,
2566,
1450,
,
Laminados para piso,
139,
140,
141,
,
DTF textil King Jet,
1256,
,
Portabanner,
156,
157,
156,
157,
2608,
,
Iman,
2597,
2598,
2600,
,
Placas Polyfan,
745,
746,
747,
748,
,
Vinilo de corte Fluo,
2577,
2578,
2579,
2580,
2581,
,
