Nº de producto;Estado;Disponible para la venta;Disponible para la compra;Disponible para integrar otros productos;Compuesto por otros productos;Rubro;Nombre;Código;Código universal de producto (UPC);Código de proveedor;Stock actual;Stock ideal;Stock mínimo;Unidad;Alicuota de IVA;Proveedor;Moneda costo;Costo ($);Utilidad (%);Precio ($);Precio Final ($);Controla stock;Stock negativo;Mostrar en tienda;Nº de publicación en MercadoLibre;Nº de publicación adicional en MercadoLibre;Descripción;Descripción para la tienda;Observaciones Internas;
2;Habilitado;SI;SI;NO;NO;Sin especificar;productos prueba;'pp;'';'';9,000;0,000;0,000;unidad;21%;Sin especificar;Pesos;5,60;50,00;8,40;10,16;SI;SI;NO;0;0;
453;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 ByN;ORACAL 100-10 WHITE- 126CM;'10010;'';''10010;81,000;100,000;50,000;metro;21%;Helioday;Pesos;6986,40;36,19;9514,78;11512,88;SI;SI;NO;0;0;
454;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 ByN;ORACAL 100-10 WHITE- 63CM;'10010-63;'';''10010-63;-839,300;100,000;50,000;metro;21%;Helioday;Pesos;3493,11;36,19;4757,27;5756,30;SI;SI;NO;0;0;
455;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 colores;ORACAL 100-20 GOLDEN YELLOW- 126CM;'10020;'';''10020;4,700;0,000;0,000;metro;21%;Helioday;Pesos;8820,65;36,50;12040,19;14568,63;SI;SI;NO;0;0;
456;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 colores;ORACAL 100-20 GOLDEN YELLOW- 63CM;'10020-63;'';''10020-63;-9,700;50,000;20,000;metro;21%;Helioday;Pesos;4410,22;36,50;6019,95;7284,14;SI;SI;NO;0;0;
457;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 colores;ORACAL 100-31 RED- 126CM;'10031;'';''10031;-93,800;0,000;0,000;metro;21%;Helioday;Pesos;8820,65;36,50;12040,19;14568,63;SI;SI;NO;0;0;
458;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 colores;ORACAL 100-31 RED- 63CM;'10031-63;'';''10031-63;-293,800;50,000;25,000;metro;21%;Helioday;Pesos;4410,22;36,50;6019,95;7284,14;SI;SI;NO;0;0;
459;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 colores;ORACAL 100-49 KING BLUE- 126CM;'10049;'';''10049;19,000;0,000;0,000;metro;21%;Helioday;Pesos;8820,65;36,50;12040,19;14568,63;SI;SI;NO;0;0;
460;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 colores;ORACAL 100-49 KING BLUE- 63CM;'10049-63;'';''10049-63;-88,000;50,000;25,000;metro;21%;Helioday;Pesos;4410,22;36,50;6019,95;7284,14;SI;SI;NO;0;0;
461;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 colores;ORACAL 100-61 GREEN- 126CM;'10061;'';''10061;0,000;0,000;0,000;metro;21%;Helioday;Pesos;8820,65;36,50;12040,19;14568,63;SI;SI;NO;0;0;
462;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 colores;ORACAL 100-61 GREEN- 63CM;'10061-63;'';''10061-63;-3,700;50,000;20,000;metro;21%;Helioday;Pesos;4410,22;36,50;6019,95;7284,14;SI;SI;NO;0;0;
463;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 ByN;ORACAL 100-70 BLACK- 126CM;'10070;'';''10070;-345,000;100,000;50,000;metro;21%;Helioday;Pesos;6986,40;36,19;9514,78;11512,88;SI;SI;NO;0;0;
464;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 ByN;ORACAL 100-70 BLACK- 63CM;'10070-63;'';''10070-63;-852,500;50,000;25,000;metro;21%;Helioday;Pesos;3493,11;36,19;4757,27;5756,30;SI;SI;NO;0;0;
465;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 ByN;ORACAL 100-70 BLACK MATTE- 126CM;'10070M;'';''10070M;-37,200;100,000;50,000;metro;21%;Helioday;Pesos;6986,40;36,19;9514,78;11512,88;SI;SI;NO;0;0;
466;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 ByN;ORACAL 100-70 BLACK MATTE- 63CM;'10070M-63;'';''10070M-63;-320,400;50,000;25,000;metro;21%;Helioday;Pesos;3493,11;36,19;4757,27;5756,30;SI;SI;NO;0;0;
467;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 metalizados;ORACAL 100-90 SILVER GREY- 126CM;'10090;'';''10090;-136,500;0,000;0,000;metro;21%;Insugraf;Pesos;8820,65;36,50;12040,19;14568,63;SI;SI;NO;0;0;
468;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 metalizados;ORACAL 100-90 SILVER GREY- 63CM;'10090-63;'';''10090-63;-49,700;50,000;25,000;metro;21%;Insugraf;Pesos;4410,22;36,50;6019,95;7284,14;SI;SI;NO;0;0;
469;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 metalizados;ORACAL 100-91 GOLD- 126CM;'10091;'';''10091;-69,000;0,000;0,000;metro;21%;Insugraf;Pesos;8820,65;36,50;12040,19;14568,63;SI;SI;NO;0;0;
470;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 metalizados;ORACAL 100-91 GOLD- 63CM;'10091-63;'';''10091-63;-229,780;50,000;25,000;metro;21%;Insugraf;Pesos;4410,22;36,50;6019,95;7284,14;SI;SI;NO;0;0;
471;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 colores;ORACAL 100-98 GENTIAN- 126CM;'10098;'';''10098;-10,000;0,000;0,000;metro;21%;Helioday;Pesos;8820,65;36,50;12040,19;14568,63;SI;SI;NO;0;0;
472;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 100 colores;ORACAL 100-98 GENTIAN- 63CM;'10098-63;'';''10098-63;-14,000;50,000;15,000;metro;21%;Helioday;Pesos;4410,22;36,50;6019,95;7284,14;SI;SI;NO;0;0;
473;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE BLANCO BRILLANTE  122CM;'VCU10;'';''VCU10;183,000;50,000;20,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
474;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE BLANCO BRILLANTE  61CM;'VCU10H;'';''VCU10H;-806,600;50,000;10,000;metro;21%;DIGRAFICA SRL;Pesos;1919,32;36,99;2629,28;3181,43;SI;SI;NO;0;0;
476;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE BLANCO MATE  61CM;'VCU10MH;'';''VCU10MH;-792,400;50,000;20,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
477;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AMARILLO 01 BRILLANTE  122CM;'VCUAM01;'';''VCUAM01;0,000;15,000;5,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
479;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AMARILLO 02 BRILLANTE  122CM;'VCUAM02;'';''VCUAM02;-44,000;20,000;10,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
480;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AMARILLO 02 BRILLANTE  61CM;'VCUAM02H;'';''VCUAM02H;-129,300;15,000;10,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
481;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AMARILLO 03 BRILLANTE  122CM;'VCUAM03;'';''VCUAM03;0,000;15,000;10,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
482;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AMARILLO 03 BRILLANTE  61CM;'VCUAM03H-482;'';''VCUAM03H;18,000;10,000;5,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
483;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AMARILLO 03 MATE  61CM;'VCUAM03H-483;'';''VCUAM03H;11,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
484;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AMARILLO 03 MATE  122CM;'VCUAM03M;'';''VCUAM03M;-38,000;10,000;5,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
485;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AZUL 01 BRILLANTE  122CM;'VCUAZ01;'';''VCUAZ01;-1,000;15,000;5,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
486;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AZUL 01 BRILLANTE  61CM;'VCUAZ01H;'';''VCUAZ01H;7,500;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
487;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AZUL 02 BRILLANTE  122CM;'VCUAZ02;'';''VCUAZ02;0,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
488;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AZUL 02 BRILLANTE  61CM;'VCUAZ02H;'';''VCUAZ02H;-113,800;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
489;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AZUL 03 BRILLANTE  122CM;'VCUAZ03;'';''VCUAZ03;-25,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
490;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AZUL 03 BRILLANTE  61CM;'VCUAZ03H-490;'';''VCUAZ03H;-32,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
491;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AZUL 03 MATE  61CM;'VCUAZ03H-491;'';''VCUAZ03H;3,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
492;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AZUL 03 MATE  122CM;'VCUAZ03M;'';''VCUAZ03M;-10,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
493;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AZUL 05 BRILLANTE  122CM;'VCUAZ05;'';''VCUAZ05;-16,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
494;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AZUL 05 BRILLANTE  61CM;'VCUAZ05H;'';''VCUAZ05H;-105,400;15,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
495;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AZUL 05 MATTE  122CM;'VCUAZ05M-495;'';''VCUAZ05M;77,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
496;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AZUL 05 MATTE  61CM;'VCUAZ05M-496;'';''VCUAZ05M;-2,300;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
497;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE BORDO 01 BRILLANTE  122CM;'VCUBO01;'';''VCUBO01;0,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
498;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE BORDO 01 BRILLANTE  61CM;'VCUBO01H;'';''VCUBO01H;18,500;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
503;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE GRIS 01 BRILLANTE  122CM;'VCUGR01;'';''VCUGR01;-5,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
504;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE GRIS 01 BRILLANTE  61CM;'VCUGR01H-504;'';''VCUGR01H;-27,700;50,000;15,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
505;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE GRIS 01 MATE  61CM;'VCUGR01H-505;'';''VCUGR01H;-41,400;50,000;15,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
506;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE GRIS 01 MATE  122CM;'VCUGR01M;'';''VCUGR01M;-99,000;50,000;15,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
507;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE MARRON 01 BRILLANTE  122CM;'VCUMA01;'';''VCUMA01;0,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
508;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE MARRON 01 BRILLANTE  61CM;'VCUMA01H;'';''VCUMA01H;-41,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
509;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE MAGENTA BRILLANTE  122CM;'VCUMAG10-509;'';''VCUMAG10;-30,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
510;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE MAGENTA BRILLANTE  61CM;'VCUMAG10-510;'';''VCUMAG10;-94,300;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
511;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE NARANJA 01 BRILLANTE  122CM;'VCUNA01;'';''VCUNA01;-27,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
512;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE NARANJA 01 BRILLANTE  61CM;'VCUNA01H;'';''VCUNA01H;-189,900;50,000;15,000;metro;21%;DIGRAFICA SRL;Pesos;1919,32;36,99;2629,28;3181,43;SI;SI;NO;0;0;
513;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE NEGRO 01 BRILLANTE  122CM;'VCUNE01;'';''VCUNE01;226,000;100,000;50,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
514;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE NEGRO 01 BRILLANTE  61CM;'VCUNE01H-514;'';''VCUNE01H;-755,000;100,000;50,000;metro;21%;DIGRAFICA SRL;Pesos;1919,32;36,99;2629,28;3181,43;SI;SI;NO;0;0;
515;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE NEGRO 01 MATE  61CM;'VCUNE01H-515;'';''VCUNE01H;-726,500;50,000;20,000;metro;21%;DIGRAFICA SRL;Pesos;1919,32;36,99;2629,28;3181,43;SI;SI;NO;0;0;
516;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE NEGRO 01 MATE  122CM;'VCUNE01M;'';''VCUNE01M;-1126,000;100,000;50,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
519;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE ROJO 03 MATE  61CM;'VCURO03H;'';''VCURO03H;-44,500;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
520;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE ROJO 03 MATE  122CM;'VCURO03M;'';''VCURO03M;-70,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
521;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE ROSA BRILLANTE  122CM;'VCURO1;'';''VCURO1;-10,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
522;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE ROSA BRILLANTE  61CM;'VCURO1H;'';''VCURO1H;0,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
523;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE ROJO 02 BRILLANTE  122CM;'VCURO2;'';''VCURO2;0,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
524;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE ROJO 02 BRILLANTE  61CM;'VCURO2H;'';''VCURO2H;-16,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
525;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE ROJO 03 BRILLANTE  122CM;'VCURO3;'';''VCURO3;-324,000;50,000;15,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
526;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE ROJO 03 BRILLANTE  61CM;'VCURO3H;'';''VCURO3H;-363,900;50,000;15,000;metro;21%;DIGRAFICA SRL;Pesos;1919,32;36,99;2629,28;3181,43;SI;SI;NO;0;0;
527;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE VERDE 02 BRILLANTE  122CM;'VCUVE02;'';''VCUVE02;0,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
528;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE VERDE 02 BRILLANTE  61CM;'VCUVE02H;'';''VCUVE02H;64,600;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
529;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE VERDE 03 BRILLANTE  122CM;'VCUVE03;'';''VCUVE03;-3,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
530;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE VERDE 03 BRILLANTE  61CM;'VCUVE03H-530;'';''VCUVE03H;-270,700;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
531;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE VERDE 03 MATE  61CM;'VCUVE03H-531;'';''VCUVE03H;-8,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
532;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE VERDE 03 MATE  122CM;'VCUVE03M;'';''VCUVE03M;-5,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
533;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE VERDE 04 BRILLANTE  122CM;'VCUVE04;'';''VCUVE04;1,200;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
534;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE VERDE 04 BRILLANTE  61CM;'VCUVE04H;'';''VCUVE04H;-2,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
535;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE VERDE 05 BRILLANTE  122CM;'VCUVE05;'';''VCUVE05;0,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
536;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE VERDE 05 BRILLANTE  61CM;'VCUVE05H-536;'';''VCUVE05H;0,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
537;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE VERDE 05 MATE  61CM;'VCUVE05H-537;'';''VCUVE05H;50,000;50,000;15,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
538;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE VERDE 05 MATE  122CM;'VCUVE05M;'';''VCUVE05M;0,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
539;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE VIOLETA 01 BRILLANTE  122CM;'VCUVI01;'';''VCUVI01;-37,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
540;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE VIOLETA 01 BRILLANTE  61CM;'VCUVI01H;'';''VCUVI01H;-110,100;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
541;Habilitado;SI;SI;NO;NO;06 Vinilo de corte Oracal 6510 fluo;6510-29 FLUO YELLOW - 126CM;'651029;'';''651029;-11,500;0,000;0,000;metro;21%;Insugraf;Pesos;41079,95;34,16;55112,86;66686,56;SI;SI;NO;0;0;
542;Habilitado;SI;SI;NO;NO;06 Vinilo de corte Oracal 6510 fluo;6510-29 FLUO YELLOW - 63CM;'651029-63;'';''651029-63;-101,900;25,000;5,000;metro;21%;Insugraf;Pesos;20539,55;34,16;27555,86;33342,59;SI;SI;NO;0;0;
543;Habilitado;SI;SI;NO;NO;06 Vinilo de corte Oracal 6510 fluo;6510-37 FLUO ORANGE - 126CM;'651037;'';''651037;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;41079,95;34,16;55112,86;66686,56;SI;SI;NO;0;0;
544;Habilitado;SI;SI;NO;NO;06 Vinilo de corte Oracal 6510 fluo;6510-37 FLUO ORANGE - 63CM;'651037-63;'';''651037-63;10,000;10,000;5,000;metro;21%;Insugraf;Pesos;20539,55;34,16;27555,86;33342,59;SI;SI;NO;0;0;
545;Habilitado;SI;SI;NO;NO;06 Vinilo de corte Oracal 6510 fluo;6510-38 FLUO RED ORANGE - 126CM;'651038;'';''651038;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;41079,95;34,16;55112,86;66686,56;SI;SI;NO;0;0;
546;Habilitado;SI;SI;NO;NO;06 Vinilo de corte Oracal 6510 fluo;6510-38 FLUO RED ORANGE - 63CM;'651038-63;'';''651038-63;-2,500;20,000;5,000;metro;21%;Insugraf;Pesos;20539,55;34,16;27555,86;33342,59;SI;SI;NO;0;0;
547;Habilitado;SI;SI;NO;NO;06 Vinilo de corte Oracal 6510 fluo;6510-39 FLUO RED - 126CM;'651039;'';''651039;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;41079,95;34,16;55112,86;66686,56;SI;SI;NO;0;0;
548;Habilitado;SI;SI;NO;NO;06 Vinilo de corte Oracal 6510 fluo;6510-39 FLUO RED - 63CM;'651039-63;'';''651039-63;4,100;20,000;5,000;metro;21%;Insugraf;Pesos;20539,55;34,16;27555,86;33342,59;SI;SI;NO;0;0;
549;Habilitado;SI;SI;NO;NO;06 Vinilo de corte Oracal 6510 fluo;6510-46 FLUO PINK - 126CM;'651046;'';''651046;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;41079,95;34,16;55112,86;66686,56;SI;SI;NO;0;0;
550;Habilitado;SI;SI;NO;NO;06 Vinilo de corte Oracal 6510 fluo;6510-46 FLUO PINK - 63CM;'651046-63;'';''651046-63;3,000;15,000;5,000;metro;21%;Insugraf;Pesos;20539,55;34,16;27555,86;33342,59;SI;SI;NO;0;0;
551;Habilitado;SI;SI;NO;NO;06 Vinilo de corte Oracal 6510 fluo;6510-69 FLUO GREEN - 126CM;'651069;'';''651069;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;41079,95;34,16;55112,86;66686,56;SI;SI;NO;0;0;
552;Habilitado;SI;SI;NO;NO;06 Vinilo de corte Oracal 6510 fluo;6510-69 FLUO GREEN - 63CM;'651069-63;'';''651069-63;-5,600;15,000;5,000;metro;21%;Insugraf;Pesos;20539,55;34,16;27555,86;33342,59;SI;SI;NO;0;0;
553;Habilitado;SI;SI;NO;NO;Oracal 8300;8300-21 TRANSPARENT YELLOW 126CM;'830021;'';''830021;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;18885,51;30,00;24551,16;29706,90;SI;SI;NO;0;0;
554;Habilitado;SI;SI;NO;NO;Oracal 8300;8300-21 TRANSPARENT YELLOW - 63CM;'830021-63;'';''830021-63;-84,700;10,000;5,000;metro;21%;Insugraf;Pesos;9442,75;30,00;12275,58;14853,45;SI;SI;NO;0;0;
555;Habilitado;SI;SI;NO;NO;Oracal 8300;8300-32 TRANSPARENT LIGHT RED 126CM;'830032;'';''830032;-54,000;0,000;0,000;metro;21%;Helioday;Pesos;18885,51;30,00;24551,16;29706,90;SI;SI;NO;0;0;
556;Habilitado;SI;SI;NO;NO;Oracal 8300;8300-32 TRANSPARENT LIGHT RED - 63CM;'830032-63;'';''830032-63;-5,000;10,000;5,000;metro;21%;Helioday;Pesos;9442,75;30,00;12275,58;14853,45;SI;SI;NO;0;0;
