Nº de producto;Estado;Disponible para la venta;Disponible para la compra;Disponible para integrar otros productos;Compuesto por otros productos;Rubro;Nombre;Código;Código universal de producto (UPC);Código de proveedor;Stock actual;Stock ideal;Stock mínimo;Unidad;Alicuota de IVA;Proveedor;Moneda costo;Costo ($);Utilidad (%);Precio ($);Precio Final ($);Controla stock;Stock negativo;Mostrar en tienda;Nº de publicación en MercadoLibre;Nº de publicación adicional en MercadoLibre;Descripción;Descripción para la tienda;Observaciones Internas;
2;Habilitado;SI;SI;NO;NO;Sin especificar;productos prueba;'pp;'';'';9,000;0,000;0,000;unidad;21%;Sin especificar;Pesos;5,60;50,00;8,40;10,16;SI;SI;NO;0;0;
64;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Vehicular Oracal 3651;3651 ORAJET BLANCO GLOSS X 152CM X 50MTS;'365110152;'';''365110152;0,000;0,000;0,000;unidad;21%;Helioday;Pesos;713458,21;25,00;891822,76;1079105,54;SI;SI;NO;0;0;
66;Deshabilitado;NO;NO;NO;NO;01 Vinilo Impresion Lg2710/2700 G y M;LG 2700G BASE BLANCA 105CM X 50mts;'LG2700G105;'';''LG2700G105;3,000;2,000;1,000;unidad;21%;Grafisur;Pesos;288085,69;0,00;288085,69;348583,68;SI;SI;NO;0;0;
67;Deshabilitado;NO;NO;NO;NO;01 Vinilo Impresion Lg2710/2700 G y M;LG 2700G BASE BLANCA 127CM X 50MTS;'LG2700G127;'';''LG2700G127;1,000;2,000;1,000;unidad;21%;Grafisur;Pesos;348446,50;0,00;348446,50;421620,27;SI;SI;NO;0;0;
68;Habilitado;SI;SI;NO;NO;01 Vinilo Impresion Lg2710/2700 G y M;LG 2700G BASE BLANCA 137CM X 50MTS;'LG2700G137;'';''LG2700G137;0,000;2,000;1,000;unidad;21%;Grafisur;Pesos;375883,24;23,00;462336,39;559427,03;SI;SI;NO;0;0;
69;Habilitado;SI;SI;NO;NO;01 Vinilo Impresion Lg2710/2700 G y M;LG 2700G BASE BLANCA 152CM X 50MTS;'LG2700G152;'';''LG2700G152;0,000;2,000;1,000;unidad;21%;Grafisur;Pesos;417038,32;23,00;512957,13;620678,13;SI;SI;NO;0;0;
70;Habilitado;SI;SI;NO;NO;01 Vinilo Impresion Lg2710/2700 G y M;LG 2710G BASE GRIS 105CM X 50MTS;'LG2710G105;'';''LG2710G105;0,000;4,000;2,000;unidad;21%;Grafisur;Pesos;288085,70;23,00;354345,41;428757,95;SI;SI;NO;0;0;
71;Habilitado;SI;SI;NO;NO;01 Vinilo Impresion Lg2710/2700 G y M;LG 2710G BASE GIRS 127CM X 50MTS;'LG2710G127;'';''LG2710G127;-1,000;2,000;1,000;unidad;21%;Grafisur;Pesos;348446,42;23,00;428589,10;518592,81;SI;SI;NO;0;0;
72;Habilitado;SI;SI;NO;NO;01 Vinilo Impresion Lg2710/2700 G y M;LG 2710G BASE GRIS 137CM X 50MTS;'LG2710G137;'';''LG2710G137;0,000;4,000;2,000;unidad;21%;Grafisur;Pesos;375883,24;23,00;462336,39;559427,03;SI;SI;NO;0;0;
73;Habilitado;SI;SI;NO;NO;01 Vinilo Impresion Lg2710/2700 G y M;LG 2710G BASE GIRS 152CM X 50MTS;'LG2710G152;'';''LG2710G152;0,000;2,000;2,000;unidad;21%;Grafisur;Pesos;417038,32;23,00;512957,13;620678,13;SI;SI;NO;0;0;
77;Habilitado;SI;SI;NO;NO;Unical Base Gris Brillante 80mic;IMPRESION UNICAL BASE GRIS BRILLANTE 107CM x 50MTS 80MIC;'VUBG10680MIC;'';''VUBG10780MIC;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;104404,39;23,00;128417,40;155385,05;SI;SI;NO;0;0;;;<p>actualización precios costo y venta 9/06/21. Costo usa 1.41 + Iva. PV Usa 1.80 + Iva m2</p>;
